¿Tiene usted relación con algún taller mecánico?,¿Cómo registra actualmente la información?
"No tengo relación directa, pero conozco el rubro",Cuaderno / libreta física
Soy mecánico/técnico,Cuaderno / libreta física
Soy mecánico/técnico,Hojas de Excel
Soy mecánico/técnico,Cuaderno / libreta física
"No tengo relación directa, pero conozco el rubro",Cuaderno / libreta física
Soy propietario/administrador de un taller,Software especializado
Soy cliente frecuente de un taller,Cuaderno / libreta física
"No tengo relación directa, pero conozco el rubro",Software especializado
Soy mecánico/técnico,Software especializado
Soy propietario/administrador de un taller,Cuaderno / libreta física
Soy cliente frecuente de un taller,Software especializado
"No tengo relación directa, pero conozco el rubro",Hojas de Excel
Soy propietario/administrador de un taller,No se registra
Soy mecánico/técnico,Software especializado
Soy mecánico/técnico,Hojas de Excel
"No tengo relación directa, pero conozco el rubro",Hojas de Excel
Soy mecánico/técnico,Cuaderno / libreta física
Soy mecánico/técnico,Hojas de Excel
Soy mecánico/técnico,No se registra
Soy mecánico/técnico,Hojas de Excel
Soy mecánico/técnico,Cuaderno / libreta física
Soy mecánico/técnico,Hojas de Excel
Soy cliente frecuente de un taller,Software especializado
Soy cliente frecuente de un taller,Hojas de Excel
Soy propietario/administrador de un taller,Hojas de Excel
"No tengo relación directa, pero conozco el rubro",Software especializado
Soy cliente frecuente de un taller,Hojas de Excel
Soy cliente frecuente de un taller,Software especializado
Soy mecánico/técnico,Hojas de Excel
"No tengo relación directa, pero conozco el rubro",No se registra
Soy mecánico/técnico,Software especializado
Soy cliente frecuente de un taller,Cuaderno / libreta física
Soy propietario/administrador de un taller,Software especializado
Soy propietario/administrador de un taller,Hojas de Excel
Soy propietario/administrador de un taller,Hojas de Excel
Soy cliente frecuente de un taller,Software especializado
"No tengo relación directa, pero conozco el rubro",Hojas de Excel
Soy propietario/administrador de un taller,Cuaderno / libreta física
Soy cliente frecuente de un taller,Hojas de Excel
Soy propietario/administrador de un taller,Cuaderno / libreta física
Soy mecánico/técnico,Hojas de Excel
Soy propietario/administrador de un taller,Software especializado
"No tengo relación directa, pero conozco el rubro",Cuaderno / libreta física
"No tengo relación directa, pero conozco el rubro",Cuaderno / libreta física
Soy propietario/administrador de un taller,Software especializado
"No tengo relación directa, pero conozco el rubro",Cuaderno / libreta física
Soy mecánico/técnico,Hojas de Excel
Soy mecánico/técnico,No se registra
Soy propietario/administrador de un taller,Cuaderno / libreta física
"No tengo relación directa, pero conozco el rubro",No se registra
