¿Considera importante que un taller registre los datos personales de sus clientes?,¿Qué datos de un cliente considera necesarios para su registro?,¿Le gustaría que el sistema pudiera contactar al cliente cuando su vehículo esté listo?
Sí,Todos los anteriores,"Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por teléfono"
Sí,Todos los anteriores,"Sí, por correo electrónico"
Sí,"Nombre completo, Número de teléfono, Correo electrónico",No es necesario
Sí,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por teléfono"
No,Todos los anteriores,"Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Carnet de identidad","Sí, por correo electrónico"
Sí,Todos los anteriores,"Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por correo electrónico"
Sí,"Nombre completo, Número de teléfono, Carnet de identidad","Sí, por teléfono"
Sí,Todos los anteriores,"Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por correo electrónico"
No,"Nombre completo, Número de teléfono, Carnet de identidad",No es necesario
Sí,"Nombre completo, Número de teléfono, Correo electrónico",No es necesario
Sí,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico, Dirección","Sí, por teléfono"
No,"Nombre completo, Número de teléfono","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Dirección de domicilio","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico, Dirección","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico, Dirección","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico",No es necesario
Sí,"Nombre completo, Número de teléfono","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico, Dirección","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Dirección de domicilio","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Carnet de identidad","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Dirección de domicilio",No es necesario
Sí,Todos los anteriores,"Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Dirección de domicilio","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Dirección de domicilio","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico",No es necesario
Sí,"Nombre completo, Número de teléfono, Carnet de identidad","Sí, por correo electrónico"
No,Todos los anteriores,No es necesario
Sí,"Nombre completo, Número de teléfono, Correo electrónico, Dirección","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Correo electrónico",No es necesario
No,"Nombre completo, Número de teléfono, Correo electrónico",No es necesario
Sí,"Nombre completo, Número de teléfono, Dirección de domicilio","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono","Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono","Sí, por correo electrónico"
Sí,"Nombre completo, Número de teléfono, Correo electrónico",No es necesario
Sí,Todos los anteriores,"Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono, Dirección de domicilio","Sí, por correo electrónico"
Sí,Todos los anteriores,"Sí, por teléfono"
Sí,"Nombre completo, Número de teléfono","Sí, por teléfono"
Sí,Todos los anteriores,"Sí, por correo electrónico"
Sí,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por teléfono"
No,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por correo electrónico"
Sí,"Nombre completo, Número de teléfono, Carnet de identidad","Sí, por teléfono"
No,"Nombre completo, Número de teléfono, Correo electrónico","Sí, por correo electrónico"
