¿Considera importante saber qué mecánico trabajó en cada vehículo?,¿Qué datos del mecánico son relevantes para el sistema?,¿Es importante que cada mecánico tenga una especialidad definida en el sistema?
Sí,"Nombre completo, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Especialidad, Años de experiencia","No, cualquier mecánico puede hacer cualquier trabajo"
No,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Fecha de contratación, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Fecha de contratación, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad, Años de experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad, Años de experiencia","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Fecha de contratación, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Nombre completo, Especialidad, Años de experiencia","No, cualquier mecánico puede hacer cualquier trabajo"
No,"Todos: Nombre, Teléfono, Especialidad, Experiencia","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Número de teléfono, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Fecha de contratación, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
No,"Nombre completo, Especialidad, Años de experiencia","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Especialidad, Años de experiencia","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Especialidad, Años de experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Nombre completo, Fecha de contratación, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Número de teléfono, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Nombre completo, Número de teléfono, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad, Años de experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Nombre completo, Número de teléfono, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad, Años de experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad, Años de experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Número de teléfono, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Número de teléfono, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Nombre completo, Número de teléfono, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Nombre completo, Fecha de contratación, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad, Años de experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad, Años de experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad, Años de experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Nombre completo, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
No,"Nombre completo, Número de teléfono, Especialidad","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
No,"Nombre completo, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Todos: Nombre, Teléfono, Especialidad, Experiencia","Sí, para asignar el trabajo correcto a cada mecánico"
Sí,"Todos: Nombre, Teléfono, Especialidad, Experiencia","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Número de teléfono, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Fecha de contratación, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
Sí,"Nombre completo, Número de teléfono, Especialidad","No, cualquier mecánico puede hacer cualquier trabajo"
