¿Considera necesario que el taller genere una orden de trabajo por cada servicio realizado?,¿Qué información debería contener una orden de trabajo?,¿Le parece importante que cada orden esté vinculada al vehículo y al mecánico?
Sí,"Vehículo, Descripción, Costo",No
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo atendido, Descripción del servicio, Fecha",Sí
No,"Vehículo atendido, Descripción del servicio, Fecha",Sí
Sí,"Vehículo, Descripción, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Descripción, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",No
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Descripción, Costo",No
Sí,"Vehículo, Descripción, Costo",Sí
Sí,"Vehículo atendido, Descripción del servicio, Fecha",Sí
Sí,"Vehículo, Descripción, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",No
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",No
No,"Vehículo, Descripción, Costo",Sí
No,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Descripción, Costo",Sí
Sí,"Vehículo, Descripción, Costo",Sí
Sí,"Vehículo atendido, Descripción del servicio, Fecha",No
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",No
Sí,"Vehículo atendido, Descripción del servicio, Fecha",Sí
Sí,"Vehículo atendido, Descripción del servicio, Fecha",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",No
No,"Vehículo atendido, Descripción del servicio, Fecha",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",No
Sí,"Vehículo atendido, Descripción del servicio, Fecha",Sí
No,"Vehículo atendido, Descripción del servicio, Fecha",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",No
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",No
Sí,"Todos: Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Mecánico, Servicio, Fecha, Costo",Sí
Sí,"Vehículo, Descripción, Costo",Sí
